IR F19 64162982
2020-02-08 15:16:55,402 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/chatbots, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,469 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/papers/technical-reports, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,509 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/papers/dissertations, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,549 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/code-orb-2, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,588 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~nlopezgi/pubs_authorizer.html, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,609 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/people, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,650 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/codeexchange, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,694 - Worker-0 - INFO - Downloaded http://codeexchange.ics.uci.edu, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,716 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~lmartie, status <403>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,738 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/wp-login.php, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,762 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/contact/directions, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,799 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/contact, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,839 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/calico, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,878 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/crowd-development, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,925 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~tlatoza, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,956 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~adrianoc, status <403>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:55,981 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/porchlight, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,024 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/crowd-fault-localization, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,067 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/sponsors, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,108 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/opportunities, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,148 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/people/previous-members, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,225 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~nlopezgi, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,247 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~gbortis, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,276 - Worker-0 - INFO - Downloaded http://ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,352 - Worker-0 - INFO - Downloaded https://ics.uci.edu/about/search, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,375 - Worker-0 - INFO - Downloaded https://ics.uci.edu/about, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,399 - Worker-0 - INFO - Downloaded https://ics.uci.edu/ugrad, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,420 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment/employ_faculty.php, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,472 - Worker-0 - INFO - Downloaded https://ics.uci.edu/employment, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,495 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,549 - Worker-0 - INFO - Downloaded http://calendar.ics.uci.edu/calendar.php, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,607 - Worker-0 - INFO - Downloaded https://calendar.ics.uci.edu/auth/forgot, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,661 - Worker-0 - INFO - Downloaded https://calendar.ics.uci.edu/localist, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,719 - Worker-0 - INFO - Downloaded https://calendar.ics.uci.edu/department/information_computer_sciences/calendar, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,771 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,829 - Worker-0 - INFO - Downloaded https://ics.uci.edu/grad/admissions/index, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,854 - Worker-0 - INFO - Downloaded https://ics.uci.edu/involved, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,875 - Worker-0 - INFO - Downloaded https://ics.uci.edu/faculty/area, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,900 - Worker-0 - INFO - Downloaded https://ics.uci.edu/dept, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,925 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/lighthouse, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:56,966 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/crowddesign, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,006 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/papers/books, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,046 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,094 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/code-topics, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,115 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~emilyo/SimSE, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,148 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/papers, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,200 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/knocap-2, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,241 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,284 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/reserarch/chatbots, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,322 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,418 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/category/competition, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,457 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/dkutas, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,505 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/tag/lab-updates, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,548 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2018/10/new-members-of-the-sdcl, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,587 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/tag/social, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,630 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2019/10/linecept-use-class, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,670 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/tag/butterworth, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,710 - Worker-0 - INFO - Downloaded https://redmiles.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,745 - Worker-0 - INFO - Downloaded https://redmiles.ics.uci.edu/publication, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,792 - Worker-0 - INFO - Downloaded https://redmiles.ics.uci.edu/organizing, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,820 - Worker-0 - INFO - Downloaded https://redmiles.ics.uci.edu/reviewings, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,852 - Worker-0 - INFO - Downloaded https://redmiles.ics.uci.edu/research, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,883 - Worker-0 - INFO - Downloaded http://cradl.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,922 - Worker-0 - INFO - Downloaded https://cradl.ics.uci.edu/publications, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:57,960 - Worker-0 - INFO - Downloaded https://cradl.ics.uci.edu/people, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,007 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~etrainer, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,063 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~redmiles/inf143-SQ08, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,110 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~jajones, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,138 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~balani, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,183 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~balani/Publications.html, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,211 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,262 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/intro_to_se/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,288 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/icse97, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,308 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/classes/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,332 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/diss/abstractpaper/abstractpaper.html, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,355 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~neno/interests.html, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,381 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/WWWdocs/localFAQ.html, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,402 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ivan, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,423 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/resume.html, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,451 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/diss/intropaper/intropaper.html, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,477 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/Arcadia/atUCI.html, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,547 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/Arcadia/Endeavors, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,574 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/pub/endeavors, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,595 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/Arcadia/Chimera/chimera.html, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,617 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/pub/chimera, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,636 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~softtest/adamakegen.html, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,655 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/pub/chiron, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,676 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/pub/process, status <601>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,698 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/IRUS, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,831 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/publications/connectors, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,853 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/albums, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,877 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/director, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,898 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/content/timothy-menzies, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,920 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/isr-events/directions, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:58,942 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/people/researchers, status <404>, using cache ('styx.ics.uci.edu', 9009).
